Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Ouachita Power,Natural Gas Combined Cycle,Operating,LA,32.7056,-92.0697,Multi-Owned,"Quachita Power, Llc",903.9,NA,93.9,81.3,Fair,
Oyster Creek Unit VIII,Natural Gas Combined Cycle,Operating,TX,28.9455,-95.3149,Multi-Owned,Dow Chemical Company,497.9,NA,9,7,Fair,
Paris Energy Center,Natural Gas Combined Cycle,Operating,TX,33.6968,-95.5577,"Centrica US Holdings, Inc.","Centrica US Holdings, Inc.",250,NA,10,9.1,Fair,
Perryville,Natural Gas Combined Cycle,Operating,LA,32.6914,-92.0192,"Entergy Louisiana, LLC","Entergy Louisiana Holdings, Inc.",830.9,NA,26.1,23.9,Fair,
Orange Cogeneration,Natural Gas Combined Cycle,Operating,FL,27.8708,-81.8253,Multi-Owned,"Northern Star Generation, LLC",136.6,NA,0,0,Not Considered,No extra turbine space
Orlando Cogen,Natural Gas Combined Cycle,Operating,FL,28.4422,-81.4119,Multi-Owned,"Northern Star Generation, LLC",122.4,NA,0,0,Not Considered,Need more info an extra turbine capacity
Panda Rosemary,Natural Gas Combined Cycle,Operating,NC,36.4525,-77.6594,Virginia Electric and Power Company,Virginia Electric and Power Company,180,NA,0,0,Not Considered,Low Operation
Panda Temple Facility,Natural Gas Combined Cycle,Planned,TX,31.09805,-97.3425,"Panda Energy International, Inc.","Panda Energy International, Inc.",0,1200,0,0,Not Considered,Need more info an extra turbine capacity
Pasadena Power Plant,Natural Gas Combined Cycle,Operating,TX,29.7233,-95.1769,Calpine Corporation,Calpine Corporation,815,NA,0,0,Not Considered,Low DNI
Pasco Cogen,Natural Gas Combined Cycle,Operating,FL,28.3744,-82.1892,"Pasco Cogeneration, LP","Pasco Cogeneration, LP",141.3,NA,0,0,Not Considered,No extra turbine space
Plaquemine Cogeneration,Natural Gas Combined Cycle,Operating,LA,30.3215,-91.2392,Dow Chemical Company,Dow Chemical Company,987,NA,0,0,Not Considered,No extra turbine space
Polk,Natural Gas Combined Cycle,Planned,FL,27.7286,-81.9897,Tampa Electric Company,Tampa Electric Company,0,555,0,0,Not Considered,Need more info an extra turbine capacity
Ponca City,Natural Gas Combined Cycle,Operating,OK,36.7205,-97.0868,Oklahoma Municipal Power Authority,Oklahoma Municipal Power Authority,73.8,NA,0,0,Not Considered,Low Operation
Pondera Capital CC,Natural Gas Combined Cycle,Planned,TX,29.7536,-95.3668,Pondera Capital Management,(blank),0,3500,0,0,Not Considered,Other
Port Arthur,Natural Gas Combined Cycle,Operating,TX,29.8577,-93.9653,"Air Products and Chemicals, Inc.","Air Products and Chemicals, Inc.",139.3,NA,0,0,Not Considered,No extra turbine space
Port Arthur Refinery,Natural Gas Combined Cycle,Operating,TX,29.8606,-93.9672,Premcor Refining Group Inc,Premcor Refining Group Inc,47.2,NA,0,0,Not Considered,Plant Too Old
Port Arthur Plant,Natural Gas Combined Cycle,Operating,TX,29.7569,-94.1898,Multi-Owned,Motiva Enterprises LLC,150.5,156,0,1,Not Considered,CC1 Too Old / CC2 not enough land for tower
PowerSmith Cogen Project,Natural Gas Combined Cycle,Operating,OK,35.4401,-97.6498,PowerSmith Cogeneration Project LP,PowerSmith Cogeneration Project LP,122.4,NA,13.3,11.5,Fair,
Rainey Generating Station,Natural Gas Combined Cycle,Operating,SC,34.3477,-82.776,South Carolina Public Authority Co.,South Carolina Public Authority Co.,520,NA,24.5,22.3,Fair,
Redbud Energy,Natural Gas Combined Cycle,Operating,OK,35.6853,-97.2242,Multi-Owned,Oklahoma Gas and Electric Company,1338,NA,173.4,144.8,Fair,
Richmond County,Natural Gas Combined Cycle,Operating,NC,34.8422,-79.7444,Carolina Power & Light Company,Carolina Power & Light Company,585.9,600,16.5,15.2,Fair,
Rio Nogales Power Project,Natural Gas Combined Cycle,Operating,TX,29.5932,-97.9724,"Tenaska Capital Management, LLC",Tenaska Inc.,898.2,726,108.2,92.2,Fair,
S O Purdom,Natural Gas Combined Cycle,Operating,FL,30.1619,-84.2014,Tallahassee City of,Tallahassee City of,247,NA,6.9,6.4,Good,
Sand Hill Energy Center,Natural Gas Combined Cycle,Operating,TX,30.2091,-97.6139,Austin Energy,Austin Energy,388,200,47.7,39.7,Good,
Putnam,Natural Gas Combined Cycle,Operating,FL,29.6283,-81.5856,Florida Power & Light Company,Florida Power & Light Company,580,NA,0,0,Not Considered,Plant Too Old
Reliant Energy Choctaw County,Natural Gas Combined Cycle,Operating,MS,33.2881,-89.4201,"RRI Energy Wholesale Generation, LLC","RRI Energy Wholesale Generation, LLC",899,NA,0,0,Not Considered,Low Operation
Richmond County,Natural Gas Combined Cycle,Under Construction,NC,34.8422,-79.7444,Carolina Power & Light Company,Carolina Power & Light Company,585.9,600,0,0,Not Considered,Need more info an extra turbine capacity
Riverdale Mill,Natural Gas Combined Cycle,Operating,AL,32.425,-86.8694,International Paper Company,International Paper Company,55.2,NA,0,0,Not Considered,No extra turbine space
Riviera,Natural Gas Combined Cycle,Planned,FL,26.7653,-80.0528,Florida Power & Light Company,Florida Power & Light Company,0,1344,0,0,Not Considered,Low Land
Rowan,Natural Gas Combined Cycle,Operating,NC,35.7325,-80.6019,Southern Power Company,Southern Power Company,593.8,NA,0,0,Not Considered,No extra turbine space
Sabine Cogen,Natural Gas Combined Cycle,Operating,TX,30.0444,-93.7716,Multi-Owned,Sabine Cogen,101.4,104,0,0,Not Considered,No extra turbine space
Sabine River Works,Natural Gas Combined Cycle,Operating,TX,30.0536,-93.7556,E I Dupont De Nemours & Co,E I Dupont De Nemours & Co,102.3,NA,0,0,Not Considered,No extra turbine space
Sabine River Works Conoco,Natural Gas Combined Cycle,Operating,TX,30.0242,-93.875,ConocoPhillips Company,SRW Cogeneration LP,505,NA,0,0,Not Considered,No extra turbine space
Sand Hill Energy Center,Natural Gas Combined Cycle,Planned,TX,30.2091,-97.6139,Austin Energy,Austin Energy,388,200,0,0,Not Considered,Need more info an extra turbine capacity
Sanford,Natural Gas Combined Cycle,Operating,FL,28.8419,-81.3256,Florida Power & Light Company,Florida Power & Light Company,2720.2,NA,0,0,Not Considered,No extra turbine space
Southaven Energy Center,Natural Gas Combined Cycle,Operating,MS,34.9597,-89.9817,Tennessee Valley Authority,Tennessee Valley Authority,903.9,NA,93.8,81.3,Fair,
Southeast Generating Station,Natural Gas Combined Cycle,Planned,FL,30.1546,-81.5055,JEA,JEA,0,545,38.6,34.6,Good,
Stanton CC,Natural Gas Combined Cycle,Operating,FL,28.4836,-81.1686,Multi-Owned,"Southern Company Services, LLC",688.3,NA,13.5,13.1,Fair,
Taft Cogeneration Facility,Natural Gas Combined Cycle,Operating,LA,29.9861,-90.4575,Occidental Chemical Corporation,Occidental Chemical Corporation,894.2,NA,88.9,76.2,Good,
Tenaska Frontier,Natural Gas Combined Cycle,Operating,TX,30.5924,-95.9178,Multi-Owned,"Tenaska Frontier Partners, LTD",939.7,NA,111.5,94.9,Good,
Tenaska Gateway,Natural Gas Combined Cycle,Operating,TX,32.0164,-94.6189,Multi-Owned,Tenaska Gateway Partners Ltd,939.6,NA,111.4,94.8,Fair,
Santa Rosa Energy Center,Natural Gas Combined Cycle,Operating,FL,30.5928,-87.135,Calpine Corporation,"Santa Rosa Energy Center, LLC",241,NA,0,0,Not Considered,Low Operation
Seadrift Plant,Natural Gas Combined Cycle,Operating,TX,28.4792,-96.6448,Union Carbide Corporation,Union Carbide Corporation,168,NA,0,0,Not Considered,No extra turbine space
Smith Pocola Energy Project,Natural Gas Combined Cycle,Planned,OK,35.27417,-94.4425,Smith Cogeneration Oklahoma Inc.,(blank),0,1200,0,0,Not Considered,Need more information on extra turbine capacity
Stanton Energy Center,Natural Gas Combined Cycle,Operating,FL,28.4836,-81.1686,Orlando Utilities Commission,Orlando Utilities Commission,300,NA,0,0,Not Considered,Land only available for one unit
Sterlington,Natural Gas Combined Cycle,Operating,LA,32.7047,-92.0792,"Entergy Louisiana, LLC","Entergy Louisiana Holdings, Inc.",226.3,NA,0,0,Not Considered,Plant Too Old
Suwannee River,Natural Gas Combined Cycle,Planned,FL,30.3764,-83.1806,Florida Power & Light Company,Florida Power Corporation,0,1200,0,0,Not Considered,Need more information on extra turbine capacity
T H Wharton,Natural Gas Combined Cycle,Operating,TX,29.9414,-95.5333,NRG Texas Power LLC,NRG Texas Power LLC,647.4,NA,0,0,Not Considered,Plant Too Old
Taft Plant,Natural Gas Combined Cycle,Operating,LA,29.9861,-90.4575,Union Carbide Corporation,Union Carbide Corporation,333.6,NA,0,0,Not Considered,No extra turbine space
Tenaska Central Alabama,Natural Gas Combined Cycle,Operating,AL,32.6503,-86.7386,Multi-Owned,"Tenaska Operations, Inc.",940,NA,0,0,Not Considered,Low Operation
Tenaska Lindsay Hill,Natural Gas Combined Cycle,Operating,AL,32.6514,-86.7386,Multi-Owned,Tenaska Alabaman Partners LP,939.4,NA,0,0,Not Considered,Low Operation
Texas City,Natural Gas Combined Cycle,Operating,TX,29.3787,-94.944,Calpine Corporation,Calpine Corporation,450,NA,0,0,Not Considered,No extra turbine space
Texas Medical Center,Natural Gas Combined Cycle,Under Construction,TX,29.3093,-94.7816,"TECO Energy, Inc.",(blank),0,45,0,0,Not Considered,Low DNI
Texas Petrochemicals Corp,Natural Gas Combined Cycle,Planned,TX,29.6967,-95.255,Texas Petrochemicals LP,(blank),0,630,0,0,Not Considered,Low DNI
Treasure Coast Energy Center,Natural Gas Combined Cycle,Operating,FL,27.44639,-80.32584,Florida Municipal Power Agency,Fort Pierce Utilities Authority,411.4,NA,52.7,43.8,Good,
Turkey Point,Natural Gas Combined Cycle,Operating,FL,25.4356,-80.3308,Florida Power & Light Company,Florida Power & Light Company,1224,NA,18,20.4,Good,
Victor J. Daniel Jr.,Natural Gas Combined Cycle,Operating,MS,30.5335,-88.5574,Mississippi Power Company,Mississippi Power Company,1132.4,NA,19,17.8,Good,
Von Rosenburg,Natural Gas Combined Cycle,Operating,TX,29.2575,-98.3828,CPS Energy,CPS Energy,550,NA,24.8,22.7,Fair,
Wansley CC,Natural Gas Combined Cycle,Operating,GA,33.4124,-85.0345,Southern Power Company,Southern Power Company,1239,NA,20.1,18.8,Fair,
West County Energy Center,Natural Gas Combined Cycle,Under Construction,FL,26.65833,-80.24167,Florida Power & Light Company,Florida Power & Light Company,2500,1250,120.8,105,Good,
Tiger Bay,Natural Gas Combined Cycle,Operating,FL,27.7447,-81.85,Florida Power & Light Company,Florida Power Corporation,278.1,NA,0,0,Not Considered,No extra turbine space
Tom G Smith,Natural Gas Combined Cycle,Operating,FL,26.6125,-80.0678,Lake Worth City of,Lake Worth City of,31.4,NA,0,0,Not Considered,Plant Too Old
University of Texas at Austin,Natural Gas Combined Cycle,Operating,TX,30.2847,-97.7413,University of Texas at EL Paso,University of Texas at Austin,130.6,33,0,0,Not Considered,Plant Too Old
University of Texas at Austin,Natural Gas Combined Cycle,Planned,TX,30.2847,-97.7413,University of Texas at EL Paso,University of Texas at Austin,130.6,33,0,0,Not Considered,Low Land
Urquhart,Natural Gas Combined Cycle,Operating,SC,33.435,-81.9111,South Carolina Electric & Gas Co.,South Carolina Electric & Gas Co.,547.8,NA,0,0,Not Considered,No extra turbine space
Vero Beach,Natural Gas Combined Cycle,Operating,FL,27.6311,-80.3758,Vero Beach City of,Vero Beach City of,57.9,NA,0,0,Not Considered,Low Operation
Victoria (TX),Natural Gas Combined Cycle,Operating,TX,28.6683,-96.9631,ReNu Power LLC,ReNu Power LLC,478,NA,0,0,Not Considered,Low Operation
Wansley Unit 9,Natural Gas Combined Cycle,Operating,GA,33.4082,-85.0399,Municipal Eletric Authority of Georgia,Municipal Eletric Authority of Georgia,568,NA,53.1,46.3,Fair,Plant Too Old
Washington County,Natural Gas Combined Cycle,Operating,AL,31.2504,-88.0156,Alabama Power Company,Alabama Power Company,122.5,NA,0,0,Not Considered,No extra turbine space
Webber Falls Energy Facility,Natural Gas Combined Cycle,Planned,OK,35.553,-95.1702,Energetix,(blank),0,850,0,0,Not Considered,Need more information on extra turbine capacity
Wise County Power Company,Natural Gas Combined Cycle,Operating,TX,33.0583,-97.9103,SUEZ Energy Generation NA,SUEZ Energy Generation NA,746,NA,19.8,18.4,Good,
Cecil Lynch,Natural Gas Combined Cycle,Operating,AR,34.7535,-92.1987,Entergy Arkansas Inc,Entergy Arkansas Inc,110,NA,0,0,Not Considered,Plant Too Old
McClellan (AR),Natural Gas Combined Cycle,Operating,AR,33.5648,-92.7917,Arkansas Electric Coop Corp,Arkansas Electric Coop Corp,134,NA,0,0,Not Considered,Plant Too Old
Harvey Couch,Natural Gas Combined Cycle,Operating,AR,33.3592,-93.4649,Entergy Arkansas Inc,Entergy Arkansas Inc,123,NA,0,0,Not Considered,Plant Too Old
Lake Catherine,Natural Gas Combined Cycle,Operating,AR,34.4341,-92.9046,Entergy Arkansas Inc,Entergy Arkansas Inc,712,NA,0,0,Not Considered,Plant Too Old
Coffeyville,Natural Gas Combined Cycle,Operating,KS,37.0456,-95.6076,Coffeyville Municipal Light & Power,Coffeyville Municipal Light & Power,37,NA,0,0,Not Considered,Plant Too Old
East 12TH Street,Natural Gas Combined Cycle,Operating,KS,37.2376,-96.9619,Winfield KS (City of),Winfield KS (City of),25.8,NA,0,0,Not Considered,Plant Too Old
Gordon Evans Energy Center,Natural Gas Combined Cycle,Operating,KS,37.7903,-97.5217,"Westar Energy Inc, Kansas Gas & Electric Co",Kansas Gas & Electric Co,537,NA,0,0,Not Considered,Plant Too Old
Hutchinson Energy Center,Natural Gas Combined Cycle,Operating,KS,38.0906,-97.8747,Westar Energy Inc,Westar Energy Inc,162,NA,0,0,Not Considered,Plant Too Old
Murrey Gill,Natural Gas Combined Cycle,Operating,KS,37.5956,-97.4131,Kansas Gas & Electric Co,Kansas Gas & Electric Co,293,NA,0,0,Not Considered,Plant Too Old
Pine Bluff Energy Center,Natural Gas Combined Cycle,Operating,AR,34.2181,-91.9025,Pine Bluff Energy LLC,Pine Bluff Energy LLC,192,NA,32,27,Good,
Harry L Oswald Power Facility,Natural Gas Combined Cycle,Operating,AR,34.5923,-92.2166,Wrightsville Power Facility LLC,Arkansas Electric Coop Corp,548,NA,76,64,Fair,
KGen Hot Spring,Natural Gas Combined Cycle,Operating,AR,34.2963,-92.8683,KGen Hot Springs LLC,Cinergy Solutions O&M LLC,630,NA,60,53,Fair,
Wichita Falls Energy Company,Natural Gas Combined Cycle,Operating,TX,33.8631,-98.5894,"Signal Hill Power, LLC",Signal Hill Withita Falls Power LP,80,NA,0,0,Not Considered,Low Operation
Wilkins,Natural Gas Combined Cycle,Operating,MS,34.1809,-90.6118,Clarksdale City of,Clarksdale City of,47.7,NA,0,0,Not Considered,Plant Too Old
Dell Power Station,Natural Gas Combined Cycle,Operating,AR,35.8619,-90.0253,Associated Electric Coop Inc,Wood Group Power Operations,679,NA,0,0,Not Considered,Low Operation
Fitzhugh,Natural Gas Combined Cycle,Operating,AR,35.8619,-90.0253,Arkansas Electric Coop Corp,Arkansas Electric Coop Corp,165,NA,0,0,Not Considered,Low Operation
Carl Bailey,Natural Gas Combined Cycle,Operating,AR,35.2597,-91.3631,Arkansas Electric Coop Corp,Arkansas Electric Coop Corp,122,NA,0,0,Not Considered,Plant Too Old
Hot Spring Power Project,Natural Gas Combined Cycle,Operating,AR,34.4304,-92.8333,Hot Spring Power Co LLC,Hot Spring Power Co LLC,641.5,NA,0,0,Not Considered,Plant Too Old
Neosho,Natural Gas Combined Cycle,Operating,KS,37.3062,-95.1118,Kansas Gas & Electric Co,Kansas Gas & Electric Co,67,NA,0,0,Not Considered,Plant Too Old
Union Power,Natural Gas Combined Cycle,Operating,AR,33.2961,-92.5933,Union Power Partners LP,Union Power Partners LP,2020,NA,332,276,Fair,
Comanche (OK),Natural Gas Combined Cycle,Operating,OK,34.5431,-98.3244,Public Service Company of Oklahoma,Public Service Company of Oklahoma,290,NA,0,0,Not Considered,Plant Too Old
Harrison County Power Project,Natural Gas Combined Cycle,Operating,TX,32.3958,-94.4361,Multi-Owned,Entergy Power Ventures LP,570,NA,58.7,0,Fair,Trough results were poor
Acadia Power Partners,Natural Gas Combined Cycle,Operating,LA,30.4284,-92.4112,Cleco Power LLC,Cleco Power LLC,1376,NA,0,0,Not Considered,Low Operation
Arsenal Hill,Natural Gas Combined Cycle,Operating,LA,32.5181,-93.7611,Southwestern Electric Power Company,Southwestern Electric Power Company,508,NA,0,0,Not Considered,Need more info an extra turbine capacity
Cane Island Power Park,Natural Gas Combined Cycle,Under Construction,FL,28.2764,-81.533,Florida Municipal Power Agency,Kissimmee Utility Authority,0,300,0,0,Not Considered,No extra turbine space
Clear Lake Power Plant,Natural Gas Combined Cycle,Operating,TX,29.6255,-95.067,Calpine Coporation,Calpine Coporation,465.2,NA,0,0,Not Considered,No extra turbine space
Gleason Power Facility,Natural Gas Combined Cycle,Planned,TN,36.2454,-88.612,Tennessee Valley Authority,Tennessee Valley Authority,0,375,0,0,Not Considered,Need more info an extra turbine capacity
Greenville Electric Generating Plant,Natural Gas Combined Cycle,Planned,TX,33.13833,-96.11056,Cobisa Group,(blank),0,1750,0,0,Not Considered,Need more info an extra turbine capacity
John R Kelly,Natural Gas Combined Cycle,Operating,FL,29.6467,-82.3219,Gainsville Regional Utilities,Gainsville Regional Utilities,146.1,NA,0,1.8,Not Considered,Unit too small for tower
Madison Bell Energy Center,Natural Gas Combined Cycle,Planned,TX,30.987,-95.9161,Navasto Energy Partners LP,(blank),0,550,0,0,Not Considered,Need more info an extra turbine capacity
Morgan Energy Center,Natural Gas Combined Cycle,Operating,AL,34.6397,-87.0639,"Calpine Generating Company, LLC","Calpine Operating Services Company, Inc.",900,NA,0,0,Not Considered,Low DNI
PPG Powerhouse C,Natural Gas Combined Cycle,Operating,LA,30.2242,-93.2831,"PPG Industries, Incorporated","PPG Industries, Incorporated",357.7,NA,0,0,Not Considered,Low DNI
Sam Rayburn,Natural Gas Combined Cycle,Operating,TX,28.8947,-97.1347,South Texas Electric Co-op Inc.,South Texas Electric Co-op Inc.,189.6,NA,0,0,Not Considered,No extra turbine space
Silas Ray,Natural Gas Combined Cycle,Operating,TX,25.9131,-97.5214,Brownsville Public Utilities Board,Brownsville Public Utilities Board,86,NA,0,0,Not Considered,Low Operation
Theodore Co-gen Fac,Natural Gas Combined Cycle,Operating,AL,30.5248,-88.1289,Alabama Power Company,Alabama Power Company,317.4,NA,0,0,Not Considered,No extra turbine space
West County Energy Center,Natural Gas Combined Cycle,Operating,FL,26.65833,-80.24167,Florida Power & Light Company,Florida Power & Light Company,2500,1250,0,0,Not Considered,Low Operation
